electricitytype,sector,codelist_province,year,population_n,area_km2,ratio_population_per_area,electicity_user_amount,house_usage,smallbusiness_usage,mediumbusiness_usage,largebusiness_usage,largebusiness_usage_code,other_usage,business_usage,total_usage,factory_amount,registered_capital,worker_amount,new_factory_amount,new_register_capital,new_worker_amount,all_factory_amount,all_registered_capital,all_worker_amount,average_monthly_income,average_monthly_expenditure,average_debt_per_household,number_of_household,mean_dry_bulb_temperature,mean_maximum_temperature,mean_minimum_temperature,mean_msl_pressure,mean_relative_humidity,mean_station_pressure,std_dry_bulb_temperature,std_maximum_temperature,std_minimum_temperature,std_msl_pressure,std_relative_humidity,std_station_pressure
1.00,2.00,76.00,2550.00,485191.00,6225.00,78.00,140395.00,216973478.00,58603329.00,155022514.00,467560608.00,1.00,82295578.00,681186451.00,980455507.00,663.00,28300.46,19950.00,31.00,1661.50,959.00,694.00,29961.96,20909.00,17855.00,18274.60,76667.00,137.77,27.92,31.98,24.33,1009.38,76.42,1008.85,1.31,0.99,1.70,2.06,2.37,2.12
1.00,2.00,76.00,2551.00,485191.00,6225.00,78.00,145318.00,218251145.00,73657903.00,148587594.00,493349661.00,1.00,90144334.00,715595158.00,1023990637.00,666.00,27845.16,20070.00,23.00,1209.96,647.00,689.00,29055.12,20717.00,17647.50,18707.80,73482.55,138.05,27.92,31.98,24.33,1009.38,76.42,1008.85,1.31,0.99,1.70,2.06,2.37,2.12
1.00,2.00,76.00,2552.00,485191.00,6225.00,78.00,150882.00,231425911.00,78417170.00,148525198.00,458027690.00,1.00,105027966.00,684970058.00,1021423935.00,670.00,28278.78,19941.00,25.00,913.24,317.00,695.00,29192.01,20258.00,17440.00,19141.00,70298.10,138.33,27.92,31.98,24.33,1009.38,76.42,1008.85,1.31,0.99,1.70,2.06,2.37,2.12
1.00,2.00,76.00,2553.00,485191.00,6225.00,78.00,156820.00,249731852.00,83475494.00,167861917.00,503167813.00,1.00,112285100.00,754505224.00,1116522176.00,683.00,30285.47,20087.00,25.00,1908.86,300.00,708.00,32194.33,20387.00,18732.90,18805.20,97794.65,138.61,27.92,31.98,24.33,1009.38,76.42,1008.85,1.31,0.99,1.70,2.06,2.37,2.12
1.00,2.00,76.00,2554.00,485191.00,6225.00,78.00,161990.00,256630103.00,84832911.00,172476148.00,518356708.00,1.00,111912355.00,775665767.00,1144208225.00,690.00,30599.80,19862.00,8.00,266.28,64.00,698.00,30866.08,19926.00,20025.80,18469.40,125291.20,138.88,27.92,31.98,24.33,1009.38,76.42,1008.85,1.31,0.99,1.70,2.06,2.37,2.12
1.00,2.00,76.00,2555.00,485191.00,6225.00,78.00,168170.00,279192674.00,90804596.00,180768138.00,572260283.00,1.00,104546273.00,843833017.00,1227571964.00,699.00,30845.27,20179.00,9.00,245.48,116.00,708.00,31090.75,20295.00,20905.05,19319.77,117405.10,141.66,27.92,31.98,24.33,1009.38,76.42,1008.85,1.31,0.99,1.70,2.06,2.37,2.12
1.00,2.00,76.00,2556.00,485191.00,6225.00,78.00,173650.00,290827664.00,99099290.00,205222730.00,590872565.00,1.00,77164993.00,895194585.00,1263187242.00,653.00,28583.65,18925.00,21.00,768.88,634.00,674.00,29352.53,19559.00,21784.30,20170.13,109519.00,144.43,27.92,31.98,24.33,1009.38,76.42,1008.85,1.31,0.99,1.70,2.06,2.37,2.12
1.00,2.00,76.00,2557.00,485191.00,6225.00,78.00,180423.00,306916091.00,103101780.00,207599205.00,606449140.00,1.00,84436105.00,917150125.00,1308502321.00,689.00,31424.36,22291.00,50.00,3434.47,4379.00,739.00,34858.83,26670.00,24107.50,21162.17,140020.40,143.88,27.92,31.98,24.33,1009.38,76.42,1008.85,1.31,0.99,1.70,2.06,2.37,2.12
1.00,3.00,67.00,2549.00,992451.00,12668.00,78.00,231597.00,224480404.00,74198499.00,80660205.00,70569700.00,1.00,43784034.00,225428404.00,493692842.00,823.00,12501.00,18677.00,29.00,392.00,360.00,852.00,12893.00,19037.00,11323.00,12059.00,116290.00,301.49,27.25,33.49,22.32,1008.87,72.60,999.16,1.69,1.78,2.61,2.82,7.77,1.79
1.00,3.00,67.00,2550.00,992451.00,12668.00,78.00,237583.00,240036448.00,76652389.00,81626735.00,69389380.00,1.00,48994339.00,227668504.00,516699291.00,913.00,14546.00,19491.00,124.00,884.00,992.00,1037.00,15430.00,20483.00,12914.00,11422.50,123574.00,310.01,27.25,33.49,22.32,1008.87,72.60,999.16,1.69,1.78,2.61,2.82,7.77,1.79
1.00,3.00,67.00,2551.00,992451.00,12668.00,78.00,243422.00,245133482.00,83965664.00,84628828.00,86063595.00,1.00,52480169.00,254658087.00,552271738.00,953.00,15426.00,19718.00,70.00,565.00,483.00,1023.00,15991.00,20201.00,15005.00,12650.75,139980.75,310.58,27.25,33.49,22.32,1008.87,72.60,999.16,1.69,1.78,2.61,2.82,7.77,1.79
1.00,3.00,67.00,2552.00,992451.00,12668.00,78.00,250362.00,258714805.00,94728627.00,92685913.00,92901688.00,1.00,58047276.00,280316228.00,597078309.00,1001.00,16313.00,20147.00,62.00,842.00,491.00,1063.00,17155.00,20638.00,17096.00,13879.00,156387.50,311.14,27.25,33.49,22.32,1008.87,72.60,999.16,1.69,1.78,2.61,2.82,7.77,1.79
1.00,3.00,67.00,2553.00,992451.00,12668.00,78.00,257990.00,285676183.00,103086713.00,101885164.00,117704202.00,1.00,66965701.00,322676079.00,675317963.00,1046.00,24554.00,21157.00,59.00,5775.00,854.00,1105.00,30329.00,22011.00,16386.85,13833.95,124158.50,311.77,27.25,33.49,22.32,1008.87,72.60,999.16,1.69,1.78,2.61,2.82,7.77,1.79
1.00,3.00,67.00,2554.00,992451.00,12668.00,78.00,264904.00,286131564.00,103110614.00,107160044.00,160993618.00,1.00,75706594.00,371264276.00,733102434.00,1086.00,25852.00,21449.00,69.00,1483.00,428.00,1155.00,27335.00,21877.00,15677.70,13788.90,91929.50,312.39,27.25,33.49,22.32,1008.87,72.60,999.16,1.69,1.78,2.61,2.82,7.77,1.79
1.00,3.00,67.00,2555.00,992451.00,12668.00,78.00,274862.00,319648321.00,116681769.00,135411718.00,204843836.00,1.00,55409075.00,456937323.00,831994719.00,1104.00,26162.00,21410.00,60.00,473.00,279.00,1164.00,26635.00,21689.00,17798.00,14693.92,97624.95,297.26,27.25,33.49,22.32,1008.87,72.60,999.16,1.69,1.78,2.61,2.82,7.77,1.79
1.00,3.00,67.00,2556.00,992451.00,12668.00,78.00,282325.00,336167269.00,130699744.00,160184891.00,111838500.00,1.00,15111807.00,402723135.00,754002211.00,1120.00,28383.00,21534.00,41.00,2290.00,295.00,1161.00,30673.00,21829.00,19918.30,15598.93,103320.40,282.13,27.25,33.49,22.32,1008.87,72.60,999.16,1.69,1.78,2.61,2.82,7.77,1.79
1.00,3.00,67.00,2557.00,992451.00,12668.00,78.00,289228.00,346810315.00,136303164.00,160930314.00,112392926.00,1.00,15765161.00,409626404.00,772201880.00,1128.00,28379.00,21562.00,30.00,264.00,182.00,1158.00,28643.00,21744.00,20627.40,15869.87,125993.50,284.26,27.25,33.49,22.32,1008.87,72.60,999.16,1.69,1.78,2.61,2.82,7.77,1.79
1.00,4.00,42.00,2549.00,642950.00,11425.00,56.00,147975.00,114366006.00,38688843.00,29958407.00,14458006.00,1.00,30171956.00,83105256.00,227643218.00,1027.00,1670.83,4760.00,33.00,96.71,262.00,1060.00,1767.53,5022.00,12083.00,12871.00,118555.00,184.61,25.51,32.13,20.84,1009.35,76.63,989.05,2.32,1.89,3.31,3.43,6.71,1.99
1.00,4.00,42.00,2550.00,642950.00,11425.00,56.00,151447.00,121888277.00,41777961.00,43357526.00,21645496.00,1.00,33775798.00,106780983.00,262445058.00,1019.00,2599.76,4875.00,25.00,830.54,399.00,1044.00,3430.31,5274.00,13765.00,15155.40,108560.00,175.15,25.51,32.13,20.84,1009.35,76.63,989.05,2.32,1.89,3.31,3.43,6.71,1.99
1.00,4.00,42.00,2551.00,642950.00,11425.00,56.00,153744.00,126252372.00,43746908.00,36362613.00,40050321.00,1.00,35497686.00,120159842.00,281909900.00,1005.00,2440.65,4806.00,30.00,111.92,309.00,1035.00,2552.57,5115.00,13588.00,14734.70,102491.30,175.34,25.51,32.13,20.84,1009.35,76.63,989.05,2.32,1.89,3.31,3.43,6.71,1.99
1.00,4.00,42.00,2552.00,642950.00,11425.00,56.00,158281.00,136734515.00,47059507.00,34413815.00,49851872.00,1.00,38192633.00,131325194.00,306252342.00,980.00,2648.03,4639.00,18.00,244.39,131.00,998.00,2892.42,4770.00,13411.00,14314.00,96422.60,175.53,25.51,32.13,20.84,1009.35,76.63,989.05,2.32,1.89,3.31,3.43,6.71,1.99
1.00,4.00,42.00,2553.00,642950.00,11425.00,56.00,162228.00,152227589.00,50835193.00,37824887.00,59064925.00,1.00,40637966.00,147725005.00,340590560.00,979.00,2895.02,4808.00,20.00,157.06,199.00,999.00,3052.09,5007.00,15684.35,14615.10,110186.85,175.80,25.51,32.13,20.84,1009.35,76.63,989.05,2.32,1.89,3.31,3.43,6.71,1.99
1.00,4.00,42.00,2554.00,642950.00,11425.00,56.00,166103.00,157469569.00,51831265.00,34870493.00,75545864.00,1.00,35554189.00,162247622.00,355271380.00,984.00,3736.84,4988.00,13.00,759.21,178.00,997.00,4496.05,5166.00,17957.70,14916.20,123951.10,176.07,25.51,32.13,20.84,1009.35,76.63,989.05,2.32,1.89,3.31,3.43,6.71,1.99
1.00,4.00,42.00,2555.00,642950.00,11425.00,56.00,171626.00,173031249.00,60018477.00,46478702.00,92777436.00,1.00,32315889.00,199274615.00,404621753.00,1002.00,4004.21,5056.00,29.00,274.45,172.00,1031.00,4278.66,5228.00,17147.65,15352.63,113810.50,159.30,25.51,32.13,20.84,1009.35,76.63,989.05,2.32,1.89,3.31,3.43,6.71,1.99
1.00,4.00,42.00,2556.00,642950.00,11425.00,56.00,176683.00,180301101.00,71854116.00,57858588.00,94662538.00,1.00,12224578.00,224375242.00,416900921.00,1015.00,4306.38,5122.00,27.00,351.39,250.00,1042.00,4657.78,5372.00,16337.60,15789.06,103669.90,142.54,25.51,32.13,20.84,1009.35,76.63,989.05,2.32,1.89,3.31,3.43,6.71,1.99
1.00,4.00,42.00,2557.00,642950.00,11425.00,56.00,180729.00,187018288.00,77400969.00,60631348.00,87984693.00,1.00,15114131.00,226017010.00,428149429.00,1059.00,18441.90,6781.00,48.00,14654.03,1568.00,1107.00,33095.93,8349.00,18664.00,16010.38,136596.65,146.42,25.51,32.13,20.84,1009.35,76.63,989.05,2.32,1.89,3.31,3.43,6.71,1.99
1.00,3.00,54.00,2549.00,441726.00,6539.00,68.00,138179.00,116651190.00,47497046.00,33851583.00,12030072.00,1.00,25280598.00,93378701.00,235310489.00,1100.00,1911.00,12557.00,137.00,158.00,1699.00,1237.00,2069.00,14256.00,12591.00,13539.00,64098.00,170.04,26.42,33.19,21.62,1009.13,75.61,999.68,2.47,2.16,3.39,3.31,7.28,0.91
1.00,3.00,54.00,2550.00,441726.00,6539.00,68.00,140632.00,122575076.00,53211973.00,34662882.00,15394056.00,1.00,27661180.00,103268911.00,253505167.00,1157.00,2014.00,12678.00,113.00,159.00,856.00,1270.00,2173.00,13534.00,14045.00,14135.10,117489.00,172.14,26.42,33.19,21.62,1009.13,75.61,999.68,2.47,2.16,3.39,3.31,7.28,0.91
1.00,3.00,54.00,2551.00,441726.00,6539.00,68.00,142528.00,126185718.00,55248608.00,36553830.00,14148017.00,1.00,29773993.00,105950455.00,261910166.00,1237.00,1989.00,12919.00,131.00,324.00,1015.00,1368.00,2313.00,13934.00,13539.50,14047.05,100559.50,172.18,26.42,33.19,21.62,1009.13,75.61,999.68,2.47,2.16,3.39,3.31,7.28,0.91
1.00,3.00,54.00,2552.00,441726.00,6539.00,68.00,144071.00,129624758.00,64065325.00,38860376.00,11972428.00,1.00,31583825.00,114898129.00,276106712.00,1342.00,2252.00,13722.00,124.00,285.00,928.00,1466.00,2537.00,14650.00,13034.00,13959.00,83630.00,172.21,26.42,33.19,21.62,1009.13,75.61,999.68,2.47,2.16,3.39,3.31,7.28,0.91
1.00,3.00,54.00,2553.00,441726.00,6539.00,68.00,146525.00,144702143.00,70390034.00,43062258.00,12870483.00,1.00,36200046.00,126322775.00,307224964.00,1436.00,2597.00,14363.00,125.00,360.00,863.00,1561.00,2957.00,15226.00,15595.60,14718.80,107320.15,172.30,26.42,33.19,21.62,1009.13,75.61,999.68,2.47,2.16,3.39,3.31,7.28,0.91
1.00,3.00,54.00,2554.00,441726.00,6539.00,68.00,148623.00,141071664.00,67391460.00,43339877.00,13960695.00,1.00,33788867.00,124692032.00,299552563.00,1573.00,2777.00,15108.00,160.00,192.00,958.00,1733.00,2969.00,16066.00,18157.20,15478.60,131010.30,172.38,26.42,33.19,21.62,1009.13,75.61,999.68,2.47,2.16,3.39,3.31,7.28,0.91
1.00,3.00,54.00,2555.00,441726.00,6539.00,68.00,151634.00,154693922.00,75404511.00,50547677.00,16651729.00,1.00,28274014.00,142603917.00,325571853.00,1808.00,3030.00,16518.00,288.00,350.00,1651.00,2096.00,3380.00,18169.00,18787.50,15466.61,140183.40,158.10,26.42,33.19,21.62,1009.13,75.61,999.68,2.47,2.16,3.39,3.31,7.28,0.91
1.00,3.00,54.00,2556.00,441726.00,6539.00,68.00,154043.00,159733362.00,84398182.00,65469367.00,20868710.00,1.00,9009554.00,170736259.00,339479175.00,1923.00,3218.00,16689.00,160.00,366.00,937.00,2083.00,3584.00,17626.00,19417.80,15454.61,149356.50,143.81,26.42,33.19,21.62,1009.13,75.61,999.68,2.47,2.16,3.39,3.31,7.28,0.91
1.00,3.00,54.00,2557.00,441726.00,6539.00,68.00,156099.00,162408650.00,85701161.00,67410892.00,27825599.00,1.00,10682108.00,180937652.00,354028410.00,2028.00,4567.00,17011.00,195.00,1660.00,1468.00,2223.00,6227.00,18479.00,20606.65,15951.91,164908.35,146.69,26.42,33.19,21.62,1009.13,75.61,999.68,2.47,2.16,3.39,3.31,7.28,0.91
1.00,1.00,81.00,2549.00,284138.00,12681.00,22.00,93627.00,165019364.00,39482288.00,84926019.00,14824513.00,1.00,67325649.00,139232820.00,371577833.00,450.00,18937.00,8524.00,39.00,123.00,173.00,489.00,19060.00,8697.00,18446.00,21454.00,156798.00,109.75,27.48,32.23,23.66,1009.35,81.86,1007.88,0.63,1.19,0.62,0.83,4.10,0.67
1.00,1.00,81.00,2550.00,284138.00,12681.00,22.00,100687.00,186608093.00,48164979.00,106494553.00,16764396.00,1.00,86728352.00,171423928.00,444760373.00,466.00,19212.00,8390.00,33.00,275.00,139.00,499.00,19487.00,8529.00,18852.00,19811.60,182167.00,112.97,27.48,32.23,23.66,1009.35,81.86,1007.88,0.63,1.19,0.62,0.83,4.10,0.67
1.00,1.00,81.00,2551.00,284138.00,12681.00,22.00,106404.00,203011621.00,54726351.00,103719631.00,34178799.00,1.00,92204402.00,192624781.00,487840804.00,470.00,19059.00,8383.00,17.00,184.00,158.00,487.00,19243.00,8541.00,21249.50,19673.80,200920.40,113.70,27.48,32.23,23.66,1009.35,81.86,1007.88,0.63,1.19,0.62,0.83,4.10,0.67
1.00,1.00,81.00,2552.00,284138.00,12681.00,22.00,113170.00,212317251.00,60208805.00,108808357.00,35361753.00,1.00,101748034.00,204378915.00,518444200.00,473.00,19460.00,8199.00,23.00,618.00,152.00,496.00,20078.00,8351.00,23647.00,19536.00,219673.80,114.44,27.48,32.23,23.66,1009.35,81.86,1007.88,0.63,1.19,0.62,0.83,4.10,0.67
1.00,1.00,81.00,2553.00,284138.00,12681.00,22.00,118852.00,230736211.00,64650008.00,115425612.00,38424804.00,1.00,121882809.00,218500424.00,571119444.00,493.00,19994.00,7653.00,32.00,691.00,210.00,525.00,20685.00,7863.00,28498.65,20185.85,198584.20,115.19,27.48,32.23,23.66,1009.35,81.86,1007.88,0.63,1.19,0.62,0.83,4.10,0.67
1.00,1.00,81.00,2554.00,284138.00,12681.00,22.00,124081.00,241640347.00,67246681.00,120085099.00,36642775.00,1.00,129397619.00,223974555.00,595012521.00,509.00,20538.00,7767.00,13.00,656.00,156.00,522.00,21194.00,7923.00,33350.30,20835.70,177494.60,115.94,27.48,32.23,23.66,1009.35,81.86,1007.88,0.63,1.19,0.62,0.83,4.10,0.67
1.00,1.00,81.00,2555.00,284138.00,12681.00,22.00,129598.00,259066837.00,76344805.00,131822703.00,42824502.00,1.00,134850789.00,250992010.00,644909636.00,539.00,20556.00,7471.00,30.00,140.00,145.00,569.00,20696.00,7616.00,30313.05,26836.18,173220.20,112.62,27.48,32.23,23.66,1009.35,81.86,1007.88,0.63,1.19,0.62,0.83,4.10,0.67
1.00,1.00,81.00,2556.00,284138.00,12681.00,22.00,135775.00,276095775.00,88470785.00,145481482.00,45615195.00,1.00,129728044.00,279567462.00,685391281.00,563.00,21171.00,8012.00,30.00,720.00,595.00,593.00,21891.00,8607.00,27275.80,32836.66,168945.80,109.30,27.48,32.23,23.66,1009.35,81.86,1007.88,0.63,1.19,0.62,0.83,4.10,0.67
1.00,1.00,81.00,2557.00,284138.00,12681.00,22.00,140326.00,287074063.00,97746582.00,148989517.00,48338849.00,1.00,143338447.00,295074948.00,725487458.00,578.00,22703.00,8351.00,24.00,1878.00,342.00,602.00,24581.00,8693.00,29143.65,30619.93,271135.50,108.42,27.48,32.23,23.66,1009.35,81.86,1007.88,0.63,1.19,0.62,0.83,4.10,0.67
0.00,0.00,10.00,2549.00,476739.00,4709.00,101.00,1940648.00,6935936206.00,5052973918.00,5654790564.00,9379328943.00,1.00,2816251060.00,20087093425.00,29839280691.00,19226.00,291708.00,565276.00,438.00,14499.00,10041.00,19664.00,306207.00,575317.00,36658.00,29647.00,158059.00,2022.35,29.24,33.39,25.33,1009.13,70.48,1008.39,1.03,0.95,1.33,2.09,4.23,2.09
0.00,0.00,10.00,2550.00,476739.00,4709.00,101.00,1984626.00,7048074038.00,5136850228.00,5855168311.00,9518715859.00,1.00,2891459485.00,20510734398.00,30450267921.00,18889.00,295680.00,567288.00,236.00,4709.00,7398.00,19125.00,300389.00,574686.00,39020.00,29969.20,155396.00,1965.90,29.24,33.39,25.33,1009.13,70.48,1008.39,1.03,0.95,1.33,2.09,4.23,2.09
0.00,0.00,10.00,2551.00,476739.00,4709.00,101.00,2072971.00,7153360570.00,5186753948.00,5858761431.00,9487149150.00,1.00,2961360688.00,20532664529.00,30647385787.00,18562.00,296423.00,563920.00,264.00,3682.00,8270.00,18826.00,300105.00,572190.00,40700.00,31963.10,181530.50,1963.75,29.24,33.39,25.33,1009.13,70.48,1008.39,1.03,0.95,1.33,2.09,4.23,2.09
0.00,0.00,10.00,2552.00,476739.00,4709.00,101.00,2174172.00,7451865934.00,5309126273.00,5777017213.00,9381418710.00,1.00,2999937222.00,20467562196.00,30919365352.00,18378.00,298899.00,561465.00,260.00,8100.00,7784.00,18638.00,306999.00,569249.00,42380.00,33957.00,207665.00,1961.61,29.24,33.39,25.33,1009.13,70.48,1008.39,1.03,0.95,1.33,2.09,4.23,2.09
0.00,0.00,10.00,2553.00,476739.00,4709.00,101.00,2251428.00,8140700477.00,5627705737.00,5701343619.00,10220451474.00,1.00,3089205141.00,21549500830.00,32779406448.00,17680.00,302315.00,547968.00,283.00,6319.00,7413.00,17963.00,308634.00,555381.00,45665.50,34490.35,213203.20,1960.17,29.24,33.39,25.33,1009.13,70.48,1008.39,1.03,0.95,1.33,2.09,4.23,2.09
